model,mean_logloss,pos
HYPER2,0.4572525940212955,1.5507633619861232
EXPO,0.46207079008256446,1.5697068757663208
DEXPO,0.514387712111765,1.7091962776571057
TRADE,0.5373518376619042,1.4334449246244205
ITCH,0.9818065261057008,2.2569201671068106
DRIFT,1.0033585765212905,2.718858109041821
